map_id,map_name,total_score,ct_score,t_score,agent_1,agent_2,agent_3,agent_4,agent_5
170,Haven,13,4,9,CYPHER,RAZE,OMEN,YORU,SKYE
171,Lotus,6,2,4,DEADLOCK,RAZE,OMEN,FADE,CLOVE
172,Lotus,13,8,5,RAZE,VYSE,OMEN,DEADLOCK,FADE
173,Haven,13,7,6,DEADLOCK,CLOVE,RAZE,OMEN,FADE
174,Haven,9,6,3,VYSE,RAZE,OMEN,DEADLOCK,FADE
175,cebox,13,8,5,PHOENIX,FADE,KILLJOY,GEKKO,ASTRA
176,cebox,6,2,4,KILLJOY,CYPHER,OMEN,JETT,SOVA
177,Sunset,13,9,4,SOVA,BREACH,OMEN,RAZE,CYPHER
178,Sunset,7,4,3,OMEN,ISO,CYPHER,SOVA,RAZE
179,Haven,13,6,7,SOVA,OMEN,BREACH,CYPHER,RAZE
180,Haven,8,5,3,ISO,OMEN,SOVA,RAZE,CYPHER
181,Bind,13,7,6,SKYE,RAZE,DEADLOCK,BRIMSTONE,CYPHER
182,Bind,9,6,3,CYPHER,OMEN,BRIMSTONE,SKYE,RAZE
183,Lotus,13,6,7,RAZE,DEADLOCK,BRIMSTONE,SKYE,CYPHER
184,Lotus,7,1,6,SKYE,RAZE,OMEN,CYPHER,BRIMSTONE
185,Lotus,15,7,5,SOVA,RAZE,BREACH,OMEN,CHAMBER
186,Lotus,13,7,5,FADE,NEON,OMEN,KILLJOY,BREACH
187,Ascent,13,7,6,BREACH,RAZE,SOVA,OMEN,CHAMBER
188,Ascent,8,6,2,NEON,BREACH,FADE,OMEN,KILLJOY
189,Bind,13,7,6,VIPER,GEKKO,BRIMSTONE,FADE,RAZE
190,Bind,7,2,5,RAZE,SKYE,CLOVE,DEADLOCK,CHAMBER
191,Haven,13,4,9,GEKKO,BRIMSTONE,RAZE,VIPER,FADE
192,Haven,4,3,1,RAZE,SKYE,DEADLOCK,CLOVE,CHAMBER
193,Lotus,14,6,6,KILLJOY,NEON,FADE,BREACH,OMEN
194,Lotus,12,6,6,BREACH,OMEN,RAZE,KILLJOY,FADE
195,Bind,13,4,9,KILLJOY,NEON,BREACH,FADE,OMEN
196,Bind,3,3,0,BREACH,KILLJOY,OMEN,RAZE,FADE
197,Haven,13,9,4,BREACH,NEON,OMEN,CYPHER,SOVA
198,Haven,5,2,3,CYPHER,OMEN,SOVA,NEON,BREACH
199,Bind,14,3,9,BREACH,OMEN,NEON,CYPHER,SOVA
200,Bind,12,3,9,SOVA,OMEN,CYPHER,NEON,BREACH
201,Haven,13,10,2,SOVA,BREACH,OMEN,CYPHER,NEON
202,Haven,15,10,2,NEON,OMEN,CYPHER,SOVA,BREACH
203,Abyss,13,4,9,BREACH,SOVA,OMEN,NEON,CYPHER
204,Abyss,6,3,3,NEON,OMEN,SOVA,BREACH,CYPHER
205,Sunset,15,4,8,KAYO,OMEN,SOVA,CYPHER,JETT
206,Sunset,13,4,8,ASTRA,YORU,JETT,VIPER,SOVA
207,Lotus,7,5,2,NEON,CYPHER,BREACH,OMEN,FADE
208,Lotus,13,10,3,OMEN,FADE,CYPHER,BREACH,YORU
209,Sunset,14,8,4,CYPHER,FADE,BREACH,NEON,OMEN
210,Sunset,16,8,4,OMEN,BREACH,FADE,YORU,CYPHER
211,Ascent,11,7,4,JETT,KAYO,KILLJOY,SOVA,OMEN
212,Ascent,13,8,5,DEADLOCK,CYPHER,SOVA,JETT,OMEN
213,Bind,4,1,3,KILLJOY,OMEN,JETT,KAYO,SOVA
214,Bind,13,9,4,DEADLOCK,JETT,CYPHER,SOVA,OMEN
215,Lotus,13,6,7,OMEN,RAZE,FADE,DEADLOCK,CYPHER
216,Lotus,6,0,6,OMEN,CYPHER,BREACH,NEON,SOVA
217,Bind,13,8,5,RAZE,OMEN,FADE,CYPHER,DEADLOCK
218,Bind,5,1,4,OMEN,CYPHER,BREACH,NEON,SOVA
219,Sunset,6,3,3,KAYO,CYPHER,NEON,SOVA,OMEN
220,Sunset,13,9,4,BREACH,NEON,CYPHER,SOVA,OMEN
221,Abyss,13,6,7,OMEN,CYPHER,SOVA,KAYO,NEON
222,Abyss,8,2,6,BREACH,CYPHER,NEON,SOVA,OMEN
223,Haven,11,2,9,OMEN,CYPHER,YORU,SOVA,ASTRA
224,Haven,13,3,10,SOVA,KAYO,CYPHER,OMEN,JETT
